ID,Date,Time,zzPrice,zzChange,zzVolume,zzDelta,zzBars,zzAvgSz,zzTrades,zzSlope,zzWave,zzVolBar,zzVolPrice,zzRetrPer,zzDur
@NQ#_ZIG,12/8/2015,11:20:56,4670.75,-12.25,2742,0,8,0,0,-68.8,1,470,0,204.17,480
@NQ#_ZIG,12/8/2015,11:22:57,4677.5,6.75,785,0,3,0,0,75.2,a,0,0,55.1,121
@NQ#_ZIG,12/8/2015,11:22:58,4673,-4.5,0,0,1,0,0,-82.5,1,0,0,66.67,1
@NQ#_ZIG,12/8/2015,11:28:56,4680,7,1649,0,2,0,0,80.4,2,792,0,155.56,358
@NQ#_ZIG,12/8/2015,11:36:56,4672.75,-7.25,1958,0,4,0,0,-71.9,1,1277,0,103.57,480
@NQ#_ZIG,12/8/2015,11:46:56,4681.75,9,2376,0,6,0,0,68.4,2,446,0,124.14,600
@NQ#_ZIG,12/8/2015,11:49:56,4673.75,-8,1204,0,4,0,0,-73.5,3,329,0,88.89,180
@NQ#_ZIG,12/8/2015,11:59:57,4684.75,11,2531,0,6,0,0,72,4,0,0,137.5,601
@NQ#_ZIG,12/8/2015,11:59:58,4680.25,-4.5,0,0,1,0,0,-82.5,5,0,0,40.91,1
@NQ#_ZIG,12/8/2015,12:03:56,4689,8.75,1577,0,3,0,0,78.5,6,367,0,194.44,238
@NQ#_ZIG,12/8/2015,12:09:56,4682.75,-6.25,1711,0,4,0,0,-69.2,7,520,0,71.43,360
@NQ#_ZIG,12/8/2015,12:13:56,4688,5.25,956,0,2,0,0,77.2,a,443,0,84,240
@NQ#_ZIG,12/8/2015,12:14:57,4680,-8,410,0,3,0,0,-77.4,b,410,0,152.38,61
@NQ#_ZIG,12/8/2015,12:17:57,4684.25,4.25,895,0,2,0,0,74.4,c,895,0,53.13,180
@NQ#_ZIG,12/8/2015,12:20:56,4675,-9.25,1231,0,4,0,0,-75.6,d,454,0,217.65,179
@NQ#_ZIG,12/8/2015,12:20:57,4679,4,0,0,1,0,0,81.6,e,0,0,43.24,1
